RAJ2000,DEJ2000,objID,f_objID,Qual,e_RAJ2000,e_DEJ2000,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
1.695415690,-33.386287710,67930016954156718,377806848,45,0.0059,0.0259,56890.976250000,0,21,18.0100,,,,4,17.1700,,,,4,17.2521,0.0056,17.0881,0.0064,16777496,16.7250,,,,4,16.6070,,,,4
1.693538770,-33.383869440,67930016935309577,310452224,37,0.0099,0.0099,56891.526759260,0,20,,,,,0,,,,,0,19.4273,0.0146,19.2333,0.0222,16777496,,,,,0,,,,,0
