ObjectId,RAICRS,DEICRS,Niflags,flags,Ngood,Ngoodu,Ngoodv,Ngoodg,Ngoodr,Ngoodi,Ngoodz,ClassStar,uPSF,e_uPSF,vPSF,e_vPSF,gPSF,e_gPSF,rPSF,e_rPSF,iPSF,e_iPSF,zPSF,e_zPSF
9444310,1.695413,-33.386294,3,0,38,2,2,9,10,8,7,0.983,17.4829,0.0232,17.5745,0.0236,17.3823,0.0345,17.2875,0.0314,17.0203,0.0235,17.1562,0.0307
9444311,1.693543,-33.383907,0,1,17,0,0,2,5,5,5,0.754,,,,,20.5821,0.0461,19.6725,0.0383,19.2258,0.0278,18.8841,0.0356
